,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
0,50,0.01,8,2,12,32,0.01,10,0.4585478703180949
1,50,0.01,8,2,12,64,0.01,10,0.3843652904033661
2,50,0.01,8,2,16,32,0.01,10,0.4595474898815155
3,50,0.01,8,2,16,64,0.01,10,0.41290054718653363
4,50,0.01,8,2,12,32,0.01,100,0.9981314937273661
5,50,0.01,8,2,12,64,0.01,100,0.9981520175933838
6,50,0.01,8,2,16,32,0.01,100,0.998672604560852
7,50,0.01,8,2,16,64,0.01,100,0.9988576173782349
8,50,0.01,8,2,12,32,0.1,10,0.9968988498051962
9,50,0.01,8,2,12,64,0.1,10,0.9986222187678019
10,50,0.01,8,2,16,32,0.1,10,0.9996826450030009
11,50,0.01,8,2,16,64,0.1,10,0.9984125296274821
12,50,0.01,8,2,12,32,0.1,100,0.9999529123306274
13,50,0.01,8,2,12,64,0.1,100,1.0003591974576314
14,50,0.01,8,2,16,32,0.1,100,1.0013830661773682
15,50,0.01,8,2,16,64,0.1,100,1.0001911322275798
16,50,0.01,8,3,12,32,0.01,10,0.4445993900299072
17,50,0.01,8,3,12,64,0.01,10,0.3762065569559733
18,50,0.01,8,3,16,32,0.01,10,0.45955414573351544
19,50,0.01,8,3,16,64,0.01,10,0.4113202492396037
20,50,0.01,8,3,12,32,0.01,100,0.9995333751042684
21,50,0.01,8,3,12,64,0.01,100,0.998552123705546
22,50,0.01,8,3,16,32,0.01,100,1.0008513530095418
23,50,0.01,8,3,16,64,0.01,100,0.9977870186169943
24,50,0.01,8,3,12,32,0.1,10,0.9992833336194357
25,50,0.01,8,3,12,64,0.1,10,0.9989847540855408
26,50,0.01,8,3,16,32,0.1,10,0.9991643826166788
27,50,0.01,8,3,16,64,0.1,10,0.997465173403422
28,50,0.01,8,3,12,32,0.1,100,1.0004411339759827
29,50,0.01,8,3,12,64,0.1,100,0.9998253981272379
30,50,0.01,8,3,16,32,0.1,100,1.000373363494873
31,50,0.01,8,3,16,64,0.1,100,1.0005187392234802
