,threshold_1,threshold_2,avg_val_loss
0,0.08,0.08,0.37253496050834656
1,0.08,0.05,0.3648090362548828
2,0.08,0.03,0.36628971497217816
3,0.08,0.02,0.36241594950358075
4,0.05,0.08,0.3704535166422526
5,0.05,0.05,0.3648091455300649
6,0.05,0.03,0.3641519546508789
7,0.05,0.02,0.3567512134710948
8,0.03,0.08,0.3722397784392039
9,0.03,0.05,0.3609782854715983
10,0.03,0.03,0.3556727170944214
11,0.03,0.02,0.3545316159725189
12,0.02,0.08,0.37102027734120685
13,0.02,0.05,0.3592833975950877
14,0.02,0.03,0.3519398669401805
15,0.02,0.02,0.33439581592877704
