,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.736757496992747
1,0.01,128,50,32,0.641252855459849
2,0.01,128,100,16,0.7462015201648077
3,0.01,128,100,32,0.8054607113202413
4,0.01,64,50,16,0.5836635629336039
5,0.01,64,50,32,0.633242454379797
6,0.01,64,100,16,0.7221429347991943
7,0.01,64,100,32,0.6983069342871507
8,0.01,32,50,16,0.6588748448424869
9,0.01,32,50,32,0.6299315316809548
10,0.01,32,100,16,0.6797818021641837
11,0.01,32,100,32,0.6064182718594869
12,0.005,128,50,16,0.6881146778663
13,0.005,128,50,32,0.6449928656220436
14,0.005,128,100,16,0.688507283727328
15,0.005,128,100,32,0.6938291440407435
16,0.005,64,50,16,0.8428007215261459
17,0.005,64,50,32,0.7227593877663215
18,0.005,64,100,16,0.7798295604685942
19,0.005,64,100,32,0.7003169680635134
20,0.005,32,50,16,0.6650702787770165
21,0.005,32,50,32,0.666440455781089
22,0.005,32,100,16,0.6730283091465633
23,0.005,32,100,32,0.6728799005349476
24,0.001,128,50,16,0.7220018406709036
25,0.001,128,50,32,0.6891433795293173
26,0.001,128,100,16,0.7341645459334055
27,0.001,128,100,32,0.7587137868007024
28,0.001,64,50,16,0.8006408574680487
29,0.001,64,50,32,0.7864809160431226
30,0.001,64,100,16,0.7429825017849604
31,0.001,64,100,32,0.7230884792904059
32,0.001,32,50,16,0.7100051250722673
33,0.001,32,50,32,0.6543675912751091
34,0.001,32,100,16,0.6713292919927173
35,0.001,32,100,32,0.7658115393585628
