,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,1.1524181341131527
1,0.01,64,50,16,1,0.05,1.1061828459302585
2,0.01,64,50,16,10,0.1,1.1420513888200123
3,0.01,64,50,16,10,0.05,1.0868937124808629
4,0.01,64,50,32,1,0.1,1.0550786033272743
5,0.01,64,50,32,1,0.05,0.9885896556079388
6,0.01,64,50,32,10,0.1,1.0153825307885807
7,0.01,64,50,32,10,0.05,0.9692939159770807
8,0.01,64,20,16,1,0.1,0.5446116464833418
9,0.01,64,20,16,1,0.05,0.5140224546194077
10,0.01,64,20,16,10,0.1,0.5140304757903019
11,0.01,64,20,16,10,0.05,0.5141492343197266
12,0.01,64,20,32,1,0.1,0.5119668114930391
13,0.01,64,20,32,1,0.05,0.5119175526003042
14,0.01,64,20,32,10,0.1,0.5120652597397566
15,0.01,64,20,32,10,0.05,0.5121450877437989
16,0.01,32,50,16,1,0.1,0.44941079517205557
17,0.01,32,50,16,1,0.05,0.42894912179973393
18,0.01,32,50,16,10,0.1,0.4567542528112729
19,0.01,32,50,16,10,0.05,0.4297410383820534
20,0.01,32,50,32,1,0.1,0.4025426533487108
21,0.01,32,50,32,1,0.05,0.39598732507891127
22,0.01,32,50,32,10,0.1,0.4029827409320408
23,0.01,32,50,32,10,0.05,0.3967959834469689
24,0.01,32,20,16,1,0.1,1.2389690472020043
25,0.01,32,20,16,1,0.05,1.3190526167551677
26,0.01,32,20,16,10,0.1,1.2634373605251314
27,0.01,32,20,16,10,0.05,1.3422754949993558
28,0.01,32,20,32,1,0.1,1.2527623891830444
29,0.01,32,20,32,1,0.05,1.3525730152924857
30,0.01,32,20,32,10,0.1,1.2946056339475842
31,0.01,32,20,32,10,0.05,1.3916583180427553
32,0.001,64,50,16,1,0.1,1.158576602737109
33,0.001,64,50,16,1,0.05,1.1061828459302585
34,0.001,64,50,16,10,0.1,1.1420513888200123
35,0.001,64,50,16,10,0.05,1.0868937124808629
36,0.001,64,50,32,1,0.1,1.0550786033272743
37,0.001,64,50,32,1,0.05,0.9885896556079388
38,0.001,64,50,32,10,0.1,1.0153825307885807
39,0.001,64,50,32,10,0.05,0.9692939159770807
40,0.001,64,20,16,1,0.1,0.5446116464833418
41,0.001,64,20,16,1,0.05,0.5140224546194077
42,0.001,64,20,16,10,0.1,0.5140304757903019
43,0.001,64,20,16,10,0.05,0.5141492343197266
44,0.001,64,20,32,1,0.1,0.5119668114930391
45,0.001,64,20,32,1,0.05,0.5119175526003042
46,0.001,64,20,32,10,0.1,0.5120652597397566
47,0.001,64,20,32,10,0.05,0.5121450877437989
48,0.001,32,50,16,1,0.1,0.44941079517205557
49,0.001,32,50,16,1,0.05,0.42894912179973393
50,0.001,32,50,16,10,0.1,0.4567542528112729
51,0.001,32,50,16,10,0.05,0.4297410383820534
52,0.001,32,50,32,1,0.1,0.4025426533487108
53,0.001,32,50,32,1,0.05,0.39598732507891127
54,0.001,32,50,32,10,0.1,0.4029827409320408
55,0.001,32,50,32,10,0.05,0.3967959834469689
56,0.001,32,20,16,1,0.1,1.2389690472020043
57,0.001,32,20,16,1,0.05,1.3190526167551677
58,0.001,32,20,16,10,0.1,1.2634373605251314
59,0.001,32,20,16,10,0.05,1.3422754949993558
60,0.001,32,20,32,1,0.1,1.2527623891830444
61,0.001,32,20,32,1,0.05,1.3525730152924857
62,0.001,32,20,32,10,0.1,1.2946056339475842
63,0.001,32,20,32,10,0.05,1.3916583180427553
