,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,64,50,16,0.6609934940934181
1,0.01,64,50,32,0.665916945785284
2,0.01,64,20,16,0.6941322113076845
3,0.01,64,20,32,0.6480828945835432
4,0.01,32,50,16,0.665802929798762
5,0.01,32,50,32,0.6337643437915378
6,0.01,32,20,16,0.6674181441466013
7,0.01,32,20,32,0.6440946929984622
8,0.001,64,50,16,0.7031312423447768
9,0.001,64,50,32,0.6758242100477219
10,0.001,64,20,16,0.7138636484742165
11,0.001,64,20,32,0.6858455625673135
12,0.001,32,50,16,0.6969807628128265
13,0.001,32,50,32,0.6662432859341304
14,0.001,32,20,16,0.6655513299836052
15,0.001,32,20,32,0.6411698785093095
