,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.5209167848030726
1,0.01,128,50,32,0.40290119995673496
2,0.01,128,100,16,0.5697656547029814
3,0.01,128,100,32,0.3537192965547244
4,0.01,64,50,16,0.3901110452910264
5,0.01,64,50,32,0.36069047823548317
6,0.01,64,100,16,0.4175662404547135
7,0.01,64,100,32,0.29333703670029837
8,0.01,32,50,16,0.3063332986500528
9,0.01,32,50,32,0.3003784996767839
10,0.01,32,100,16,0.33175256608261
11,0.01,32,100,32,0.28147620318664446
12,0.005,128,50,16,0.5554080531001091
13,0.005,128,50,32,0.5242509643236796
14,0.005,128,100,16,0.5652650644381841
15,0.005,128,100,32,0.5012848799427351
16,0.005,64,50,16,0.5010454822331667
17,0.005,64,50,32,0.4793675982703765
18,0.005,64,100,16,0.5054159111653765
19,0.005,64,100,32,0.4330657087266445
20,0.005,32,50,16,0.41402440642317134
21,0.005,32,50,32,0.3998466932111316
22,0.005,32,100,16,0.3584258071250386
23,0.005,32,100,32,0.30685571945375867
24,0.001,128,50,16,0.7003690203030905
25,0.001,128,50,32,0.8325536201397578
26,0.001,128,100,16,0.8754252543052038
27,0.001,128,100,32,0.7654984245697657
28,0.001,64,50,16,0.7020662520080805
29,0.001,64,50,32,0.6123826435456673
30,0.001,64,100,16,0.9065360069895784
31,0.001,64,100,32,0.8129420913755894
32,0.001,32,50,16,0.6722402983241612
33,0.001,32,50,32,0.7242427604066002
34,0.001,32,100,16,0.8209005940291617
35,0.001,32,100,32,0.660376520620452
