,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,0.602339090158542
1,0.01,64,50,16,1,0.05,0.48887595627456903
2,0.01,64,50,16,10,0.1,0.5281443769733111
3,0.01,64,50,16,10,0.05,0.4804107313975692
4,0.01,64,50,32,1,0.1,0.48765958442042273
5,0.01,64,50,32,1,0.05,0.5649694480622808
6,0.01,64,50,32,10,0.1,0.5862960563972592
7,0.01,64,50,32,10,0.05,0.4895955870548884
8,0.01,64,20,16,1,0.1,0.4460602992524703
9,0.01,64,20,16,1,0.05,0.4798989463597536
10,0.01,64,20,16,10,0.1,0.484793742497762
11,0.01,64,20,16,10,0.05,0.48482176413138706
12,0.01,64,20,32,1,0.1,0.5184933071335157
13,0.01,64,20,32,1,0.05,0.5212389541169008
14,0.01,64,20,32,10,0.1,0.5201466586440802
15,0.01,64,20,32,10,0.05,0.5207270048558712
16,0.01,32,50,16,1,0.1,0.43646798597441777
17,0.01,32,50,16,1,0.05,0.38204093277454376
18,0.01,32,50,16,10,0.1,0.39432466874519984
19,0.01,32,50,16,10,0.05,0.3634886258178287
20,0.01,32,50,32,1,0.1,0.39449273182286154
21,0.01,32,50,32,1,0.05,0.41060204837057324
22,0.01,32,50,32,10,0.1,0.43677588701248177
23,0.01,32,50,32,10,0.05,0.45450523992379505
24,0.01,32,20,16,1,0.1,1.1878589570522309
25,0.01,32,20,16,1,0.05,1.2408081220255958
26,0.01,32,20,16,10,0.1,1.2014085544480217
27,0.01,32,20,16,10,0.05,1.2547301669915516
28,0.01,32,20,32,1,0.1,1.185083246231079
29,0.01,32,20,32,1,0.05,1.2399934669335684
30,0.01,32,20,32,10,0.1,1.1993261165089077
31,0.01,32,20,32,10,0.05,1.2532349089781443
32,0.001,64,50,16,1,0.1,0.6424187819163004
33,0.001,64,50,16,1,0.05,0.48887595627456903
34,0.001,64,50,16,10,0.1,0.5281443769733111
35,0.001,64,50,16,10,0.05,0.4804107313975692
36,0.001,64,50,32,1,0.1,0.48765958442042273
37,0.001,64,50,32,1,0.05,0.5649694480622808
38,0.001,64,50,32,10,0.1,0.5862960563972592
39,0.001,64,50,32,10,0.05,0.4895955870548884
40,0.001,64,20,16,1,0.1,0.4460602992524703
41,0.001,64,20,16,1,0.05,0.4798989463597536
42,0.001,64,20,16,10,0.1,0.484793742497762
43,0.001,64,20,16,10,0.05,0.48482176413138706
44,0.001,64,20,32,1,0.1,0.5184933071335157
45,0.001,64,20,32,1,0.05,0.5212389541169008
46,0.001,64,20,32,10,0.1,0.5201466586440802
47,0.001,64,20,32,10,0.05,0.5207270048558712
48,0.001,32,50,16,1,0.1,0.43646798597441777
49,0.001,32,50,16,1,0.05,0.38204093277454376
50,0.001,32,50,16,10,0.1,0.39432466874519984
51,0.001,32,50,16,10,0.05,0.3634886258178287
52,0.001,32,50,32,1,0.1,0.39449273182286154
53,0.001,32,50,32,1,0.05,0.41060204837057324
54,0.001,32,50,32,10,0.1,0.43677588701248177
55,0.001,32,50,32,10,0.05,0.45450523992379505
56,0.001,32,20,16,1,0.1,1.1878589570522309
57,0.001,32,20,16,1,0.05,1.2408081220255958
58,0.001,32,20,16,10,0.1,1.2014085544480217
59,0.001,32,20,16,10,0.05,1.2547301669915516
60,0.001,32,20,32,1,0.1,1.185083246231079
61,0.001,32,20,32,1,0.05,1.2399934669335684
62,0.001,32,20,32,10,0.1,1.1993261165089077
63,0.001,32,20,32,10,0.05,1.2532349089781443
