,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,64,50,16,0.5258982606853048
1,0.01,64,50,32,0.2995902933180332
2,0.01,64,20,16,0.5476835613759855
3,0.01,64,20,32,0.3956249981808166
4,0.01,32,50,16,0.3475882035162714
5,0.01,32,50,32,0.3089845566285981
6,0.01,32,20,16,0.39545912130011457
7,0.01,32,20,32,0.29000504149330986
8,0.001,64,50,16,0.7656786379714807
9,0.001,64,50,32,0.6906858539829651
10,0.001,64,20,16,0.6790543844302496
11,0.001,64,20,32,0.6853252872824669
12,0.001,32,50,16,0.7247402843501832
13,0.001,32,50,32,0.6901381141609616
14,0.001,32,20,16,0.7677224778466755
15,0.001,32,20,32,0.6815849254528681
