,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.28368281821409863
1,0.01,128,50,32,0.24796001488963762
2,0.01,128,100,16,0.2552734538912773
3,0.01,128,100,32,0.22470161567131677
4,0.01,64,50,16,0.2701398817201455
5,0.01,64,50,32,0.271390650421381
6,0.01,64,100,16,0.2348882295191288
7,0.01,64,100,32,0.19901619758456945
8,0.01,32,50,16,0.2512274674243397
9,0.01,32,50,32,0.24378405461708708
10,0.01,32,100,16,0.26216687129603494
11,0.01,32,100,32,0.17994708816210428
12,0.005,128,50,16,0.2975912541151047
13,0.005,128,50,32,0.26218806207180023
14,0.005,128,100,16,0.27693748225768405
15,0.005,128,100,32,0.2512393506864707
16,0.005,64,50,16,0.2964206834634145
17,0.005,64,50,32,0.267715588832895
18,0.005,64,100,16,0.23023315394918123
19,0.005,64,100,32,0.2414847705513239
20,0.005,32,50,16,0.27662933352920743
21,0.005,32,50,32,0.251375992430581
22,0.005,32,100,16,0.24157082123888865
23,0.005,32,100,32,0.24920856439405017
24,0.001,128,50,16,0.4961056783795357
25,0.001,128,50,32,0.4197661802172661
26,0.001,128,100,16,0.3555496037006378
27,0.001,128,100,32,0.3255423419177532
28,0.001,64,50,16,0.37382085248827934
29,0.001,64,50,32,0.3517455483476321
30,0.001,64,100,16,0.32660208518306416
31,0.001,64,100,32,0.29699115206797916
32,0.001,32,50,16,0.40419900251759416
33,0.001,32,50,32,0.3122676028145684
34,0.001,32,100,16,0.3011510819196701
35,0.001,32,100,32,0.27824303408463796
