,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,1.011601907511552
1,0.01,64,50,16,1,0.05,0.976155643661817
2,0.01,64,50,16,10,0.1,0.9696760152777036
3,0.01,64,50,16,10,0.05,0.9762167458732923
4,0.01,64,50,32,1,0.1,1.0115696986516316
5,0.01,64,50,32,1,0.05,1.0168820048371952
6,0.01,64,50,32,10,0.1,1.0116876810789108
7,0.01,64,50,32,10,0.05,1.0169301653901737
8,0.01,64,20,16,1,0.1,0.898535680025816
9,0.01,64,20,16,1,0.05,0.8938779334227244
10,0.01,64,20,16,10,0.1,0.8930025783677896
11,0.01,64,20,16,10,0.05,0.8937102034687996
12,0.01,64,20,32,1,0.1,0.8269777037203312
13,0.01,64,20,32,1,0.05,0.8277315894762675
14,0.01,64,20,32,10,0.1,0.8272070189317068
15,0.01,64,20,32,10,0.05,0.8279291987419128
16,0.01,32,50,16,1,0.1,0.783680408861902
17,0.01,32,50,16,1,0.05,0.7330295006434122
18,0.01,32,50,16,10,0.1,0.7697323176595899
19,0.01,32,50,16,10,0.05,0.7350245296955108
20,0.01,32,50,32,1,0.1,0.7500576065646277
21,0.01,32,50,32,1,0.05,0.7097811129358079
22,0.01,32,50,32,10,0.1,0.7520462526215447
23,0.01,32,50,32,10,0.05,0.7127197974257999
24,0.01,32,20,16,1,0.1,0.9889012843370438
25,0.01,32,20,16,1,0.05,0.995512604382303
26,0.01,32,20,16,10,0.1,0.9882927503850724
27,0.01,32,20,16,10,0.05,0.9954005784458584
28,0.01,32,20,32,1,0.1,1.02781443728341
29,0.01,32,20,32,1,0.05,1.0381732887691921
30,0.01,32,20,32,10,0.1,1.02863759762711
31,0.01,32,20,32,10,0.05,1.0388675166500938
32,0.001,64,50,16,1,0.1,0.9783570071061453
33,0.001,64,50,16,1,0.05,0.976155643661817
34,0.001,64,50,16,10,0.1,0.9696760152777036
35,0.001,64,50,16,10,0.05,0.9762167458732923
36,0.001,64,50,32,1,0.1,1.0115696986516316
37,0.001,64,50,32,1,0.05,1.0168820048371952
38,0.001,64,50,32,10,0.1,1.0116876810789108
39,0.001,64,50,32,10,0.05,1.0169301653901737
40,0.001,64,20,16,1,0.1,0.898535680025816
41,0.001,64,20,16,1,0.05,0.8938779334227244
42,0.001,64,20,16,10,0.1,0.8930025783677896
43,0.001,64,20,16,10,0.05,0.8937102034687996
44,0.001,64,20,32,1,0.1,0.8269777037203312
45,0.001,64,20,32,1,0.05,0.8277315894762675
46,0.001,64,20,32,10,0.1,0.8272070189317068
47,0.001,64,20,32,10,0.05,0.8279291987419128
48,0.001,32,50,16,1,0.1,0.783680408861902
49,0.001,32,50,16,1,0.05,0.7330295006434122
50,0.001,32,50,16,10,0.1,0.7697323176595899
51,0.001,32,50,16,10,0.05,0.7350245296955108
52,0.001,32,50,32,1,0.1,0.7500576065646277
53,0.001,32,50,32,1,0.05,0.7097811129358079
54,0.001,32,50,32,10,0.1,0.7520462526215447
55,0.001,32,50,32,10,0.05,0.7127197974257999
56,0.001,32,20,16,1,0.1,0.9889012843370438
57,0.001,32,20,16,1,0.05,0.995512604382303
58,0.001,32,20,16,10,0.1,0.9882927503850724
59,0.001,32,20,16,10,0.05,0.9954005784458584
60,0.001,32,20,32,1,0.1,1.02781443728341
61,0.001,32,20,32,1,0.05,1.0381732887691921
62,0.001,32,20,32,10,0.1,1.02863759762711
63,0.001,32,20,32,10,0.05,1.0388675166500938
