,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,64,50,16,0.2599210583915313
1,0.01,64,50,32,0.24932534930606684
2,0.01,64,20,16,0.3167313827822606
3,0.01,64,20,32,0.2880411936591069
4,0.01,32,50,16,0.26284198413292564
5,0.01,32,50,32,0.2364844580491384
6,0.01,32,20,16,0.29695526924398213
7,0.01,32,20,32,0.27442963040537305
8,0.001,64,50,16,0.36950172297656536
9,0.001,64,50,32,0.3454211273541053
10,0.001,64,20,16,0.5157475136220455
11,0.001,64,20,32,0.48575645064314205
12,0.001,32,50,16,0.32555034243398245
13,0.001,32,50,32,0.2940319021542867
14,0.001,32,20,16,0.5010330988301172
15,0.001,32,20,32,0.3823499669631323
