,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.4841548800468445
1,0.01,128,50,32,0.5163871943950653
2,0.01,128,100,16,0.42559612294038135
3,0.01,128,100,32,0.4788563723365466
4,0.01,64,50,16,0.3281915249923865
5,0.01,64,50,32,0.4860039157792926
6,0.01,64,100,16,0.49440249521285295
7,0.01,64,100,32,0.42996189432839554
8,0.01,32,50,16,0.4108403363989459
9,0.01,32,50,32,0.3557406743367513
10,0.01,32,100,16,0.3165228007568254
11,0.01,32,100,32,0.35292199419604403
12,0.005,128,50,16,0.5931138495604197
13,0.005,128,50,32,0.69223024447759
14,0.005,128,100,16,0.5897305980324745
15,0.005,128,100,32,0.6684727892279625
16,0.005,64,50,16,0.5371462258820733
17,0.005,64,50,32,0.6683538511085013
18,0.005,64,100,16,0.5695491110285124
19,0.005,64,100,32,0.6055915945520004
20,0.005,32,50,16,0.4506070479750633
21,0.005,32,50,32,0.46201561225785154
22,0.005,32,100,16,0.47889556487401325
23,0.005,32,100,32,0.42785430567132104
24,0.001,128,50,16,0.6561343148350716
25,0.001,128,50,32,0.7683203667402267
26,0.001,128,100,16,0.7688471774260203
27,0.001,128,100,32,0.8203638941049576
28,0.001,64,50,16,0.6947619523853064
29,0.001,64,50,32,0.7778430264443159
30,0.001,64,100,16,0.6700352005039653
31,0.001,64,100,32,0.8399291162689527
32,0.001,32,50,16,0.7186379654539956
33,0.001,32,50,32,0.7256990151272881
34,0.001,32,100,16,0.7433559212419721
35,0.001,32,100,32,0.8804093236724536
