,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,0.8759620574613413
1,0.01,64,50,16,1,0.05,0.7893737722188234
2,0.01,64,50,16,10,0.1,0.8430725721021494
3,0.01,64,50,16,10,0.05,0.7859989125281572
4,0.01,64,50,32,1,0.1,0.7572435699403286
5,0.01,64,50,32,1,0.05,0.7322653544445833
6,0.01,64,50,32,10,0.1,0.7423505807916323
7,0.01,64,50,32,10,0.05,0.7237897887825966
8,0.01,64,20,16,1,0.1,0.6898773219436407
9,0.01,64,20,16,1,0.05,0.7244840251902739
10,0.01,64,20,16,10,0.1,0.723708945636948
11,0.01,64,20,16,10,0.05,0.724467863018314
12,0.01,64,20,32,1,0.1,0.456463610753417
13,0.01,64,20,32,1,0.05,0.4566135114679734
14,0.01,64,20,32,10,0.1,0.45647166793545085
15,0.01,64,20,32,10,0.05,0.4566226787865162
16,0.01,32,50,16,1,0.1,0.4787270314163632
17,0.01,32,50,16,1,0.05,0.5100415683454939
18,0.01,32,50,16,10,0.1,0.5191355344321993
19,0.01,32,50,16,10,0.05,0.4789136717716853
20,0.01,32,50,32,1,0.1,0.4178879979583952
21,0.01,32,50,32,1,0.05,0.4170767706301477
22,0.01,32,50,32,10,0.1,0.44975264420111977
23,0.01,32,50,32,10,0.05,0.40856172260310913
24,0.01,32,20,16,1,0.1,1.0659944209787582
25,0.01,32,20,16,1,0.05,1.0809260686238609
26,0.01,32,20,16,10,0.1,1.059329033560223
27,0.01,32,20,16,10,0.05,1.0832487649387783
28,0.01,32,20,32,1,0.1,1.196244717306561
29,0.01,32,20,32,1,0.05,1.2637185467614067
30,0.01,32,20,32,10,0.1,1.2148005207379657
31,0.01,32,20,32,10,0.05,1.2808625552389357
32,0.001,64,50,16,1,0.1,0.8894632396598657
33,0.001,64,50,16,1,0.05,0.7893737722188234
34,0.001,64,50,16,10,0.1,0.8430725721021494
35,0.001,64,50,16,10,0.05,0.7859989125281572
36,0.001,64,50,32,1,0.1,0.7572435699403286
37,0.001,64,50,32,1,0.05,0.7322653544445833
38,0.001,64,50,32,10,0.1,0.7423505807916323
39,0.001,64,50,32,10,0.05,0.7237897887825966
40,0.001,64,20,16,1,0.1,0.6898773219436407
41,0.001,64,20,16,1,0.05,0.7244840251902739
42,0.001,64,20,16,10,0.1,0.723708945636948
43,0.001,64,20,16,10,0.05,0.724467863018314
44,0.001,64,20,32,1,0.1,0.456463610753417
45,0.001,64,20,32,1,0.05,0.4566135114679734
46,0.001,64,20,32,10,0.1,0.45647166793545085
47,0.001,64,20,32,10,0.05,0.4566226787865162
48,0.001,32,50,16,1,0.1,0.4787270314163632
49,0.001,32,50,16,1,0.05,0.5100415683454939
50,0.001,32,50,16,10,0.1,0.5191355344321993
51,0.001,32,50,16,10,0.05,0.4789136717716853
52,0.001,32,50,32,1,0.1,0.4178879979583952
53,0.001,32,50,32,1,0.05,0.4170767706301477
54,0.001,32,50,32,10,0.1,0.44975264420111977
55,0.001,32,50,32,10,0.05,0.40856172260310913
56,0.001,32,20,16,1,0.1,1.0659944209787582
57,0.001,32,20,16,1,0.05,1.0809260686238609
58,0.001,32,20,16,10,0.1,1.059329033560223
59,0.001,32,20,16,10,0.05,1.0832487649387783
60,0.001,32,20,32,1,0.1,1.196244717306561
61,0.001,32,20,32,1,0.05,1.2637185467614067
62,0.001,32,20,32,10,0.1,1.2148005207379657
63,0.001,32,20,32,10,0.05,1.2808625552389357
