,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,64,50,16,0.46727521655460197
1,0.01,64,50,32,0.42814948471883935
2,0.01,64,20,16,0.48855696494380635
3,0.01,64,20,32,0.5339764722933372
4,0.01,32,50,16,0.37166747881306544
5,0.01,32,50,32,0.39828605105479564
6,0.01,32,20,16,0.4806975609726376
7,0.01,32,20,32,0.4593124232358403
8,0.001,64,50,16,0.6781403149167696
9,0.001,64,50,32,0.8977551100154718
10,0.001,64,20,16,0.6866641975939274
11,0.001,64,20,32,0.7815796757737795
12,0.001,32,50,16,0.7303115992082491
13,0.001,32,50,32,0.7828227890862359
14,0.001,32,20,16,0.6838284562031428
15,0.001,32,20,32,0.6971256262726254
