,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.2053760662674904
1,0.01,128,50,32,0.49273627748092014
2,0.01,128,100,16,0.11926822488506635
3,0.01,128,100,32,0.23336208487550417
4,0.01,64,50,16,0.1621897527948022
5,0.01,64,50,32,0.4449060568585992
6,0.01,64,100,16,0.10070521244779229
7,0.01,64,100,32,0.40353864803910255
8,0.01,32,50,16,0.20986292916867466
9,0.01,32,50,32,0.7739424996905857
10,0.01,32,100,16,0.1798928431338734
11,0.01,32,100,32,0.9386538836691113
12,0.005,128,50,16,0.15063419875999293
13,0.005,128,50,32,0.14213528608282408
14,0.005,128,100,16,0.09143587822715442
15,0.005,128,100,32,0.08274481818079948
16,0.005,64,50,16,0.14199541043490171
17,0.005,64,50,32,0.11038326425477862
18,0.005,64,100,16,0.10459603990117709
19,0.005,64,100,32,0.09651347249746323
20,0.005,32,50,16,0.14903058111667633
21,0.005,32,50,32,0.13376222517755296
22,0.005,32,100,16,0.10084657503498924
23,0.005,32,100,32,0.08958272706303332
24,0.001,128,50,16,0.18280534073710442
25,0.001,128,50,32,0.13368476182222366
26,0.001,128,100,16,0.12142070941627026
27,0.001,128,100,32,0.08564407657831907
28,0.001,64,50,16,0.15687474701553583
29,0.001,64,50,32,0.11760770746817191
30,0.001,64,100,16,0.10102657663325469
31,0.001,64,100,32,0.09165281817937891
32,0.001,32,50,16,0.12891485351655219
33,0.001,32,50,32,0.10201909649703238
34,0.001,32,100,16,0.08656555720501476
35,0.001,32,100,32,0.08444357638557752
