,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,0.6949270342787107
1,0.01,64,50,16,1,0.05,0.6547307223081589
2,0.01,64,50,16,10,0.1,0.6215041323254505
3,0.01,64,50,16,10,0.05,0.6632985348502795
4,0.01,64,50,32,1,0.1,0.6008986569941044
5,0.01,64,50,32,1,0.05,0.6182161023219427
6,0.01,64,50,32,10,0.1,0.5418012328445911
7,0.01,64,50,32,10,0.05,0.502755131572485
8,0.01,64,20,16,1,0.1,0.5582804754376411
9,0.01,64,20,16,1,0.05,0.5398149369284511
10,0.01,64,20,16,10,0.1,0.5368424346670508
11,0.01,64,20,16,10,0.05,0.5419061326732239
12,0.01,64,20,32,1,0.1,0.5881319250911474
13,0.01,64,20,32,1,0.05,0.5888157766312361
14,0.01,64,20,32,10,0.1,0.5736139913400015
15,0.01,64,20,32,10,0.05,0.5715187018116316
16,0.01,32,50,16,1,0.1,0.5383735719654295
17,0.01,32,50,16,1,0.05,0.5566079361571206
18,0.01,32,50,16,10,0.1,0.5889950914515389
19,0.01,32,50,16,10,0.05,0.541747477153937
20,0.01,32,50,32,1,0.1,0.45563107960753974
21,0.01,32,50,32,1,0.05,0.4507472902536392
22,0.01,32,50,32,10,0.1,0.4780423536896706
23,0.01,32,50,32,10,0.05,0.4536810336841477
24,0.01,32,20,16,1,0.1,1.1545828822586273
25,0.01,32,20,16,1,0.05,1.2029968990219964
26,0.01,32,20,16,10,0.1,1.1838831961154936
27,0.01,32,20,16,10,0.05,1.234596582916048
28,0.01,32,20,32,1,0.1,1.199942053688897
29,0.01,32,20,32,1,0.05,1.269619216521581
30,0.01,32,20,32,10,0.1,1.237571483850479
31,0.01,32,20,32,10,0.05,1.3019266327222188
32,0.001,64,50,16,1,0.1,0.6810044658680757
33,0.001,64,50,16,1,0.05,0.6547307223081589
34,0.001,64,50,16,10,0.1,0.6215041323254505
35,0.001,64,50,16,10,0.05,0.6632985348502795
36,0.001,64,50,32,1,0.1,0.6008986569941044
37,0.001,64,50,32,1,0.05,0.6182161023219427
38,0.001,64,50,32,10,0.1,0.5418012328445911
39,0.001,64,50,32,10,0.05,0.502755131572485
40,0.001,64,20,16,1,0.1,0.5582804754376411
41,0.001,64,20,16,1,0.05,0.5398149369284511
42,0.001,64,20,16,10,0.1,0.5368424346670508
43,0.001,64,20,16,10,0.05,0.5419061326732239
44,0.001,64,20,32,1,0.1,0.5881319250911474
45,0.001,64,20,32,1,0.05,0.5888157766312361
46,0.001,64,20,32,10,0.1,0.5736139913400015
47,0.001,64,20,32,10,0.05,0.5715187018116316
48,0.001,32,50,16,1,0.1,0.5383735719654295
49,0.001,32,50,16,1,0.05,0.5566079361571206
50,0.001,32,50,16,10,0.1,0.5889950914515389
51,0.001,32,50,16,10,0.05,0.541747477153937
52,0.001,32,50,32,1,0.1,0.45563107960753974
53,0.001,32,50,32,1,0.05,0.4507472902536392
54,0.001,32,50,32,10,0.1,0.4780423536896706
55,0.001,32,50,32,10,0.05,0.4536810336841477
56,0.001,32,20,16,1,0.1,1.1545828822586273
57,0.001,32,20,16,1,0.05,1.2029968990219964
58,0.001,32,20,16,10,0.1,1.1838831961154936
59,0.001,32,20,16,10,0.05,1.234596582916048
60,0.001,32,20,32,1,0.1,1.199942053688897
61,0.001,32,20,32,1,0.05,1.269619216521581
62,0.001,32,20,32,10,0.1,1.237571483850479
63,0.001,32,20,32,10,0.05,1.3019266327222188
