,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,64,50,16,0.17864531558007002
1,0.01,64,50,32,0.49318786710500717
2,0.01,64,20,16,0.26363673868278664
3,0.01,64,20,32,0.3711150928090016
4,0.01,32,50,16,0.5079387355181907
5,0.01,32,50,32,0.6655010183652242
6,0.01,32,20,16,0.42630049006806475
7,0.01,32,20,32,0.4401998334460789
8,0.001,64,50,16,0.12938737527777752
9,0.001,64,50,32,0.11886987835168839
10,0.001,64,20,16,0.26323561867078143
11,0.001,64,20,32,0.1941418101390203
12,0.001,32,50,16,0.12836781351102722
13,0.001,32,50,32,0.10814836795131366
14,0.001,32,20,16,0.20196686072482004
15,0.001,32,20,32,0.1852815253867043
